School Name,Turn Around Time,Ranking ,University Acceptance Rate,Last Quaification,GPA,Cost of Living,Cost Of Tution,Application Fees,PTE,IELTS,TOEFL,DUOLINGO,Education Type
State University of New York (SUNY) at Plattsburgh,4-5 Weeks,#54,68%,,63.00%,15380,16980,$50.00 ,54,6.5,76,110,Bachelors
University of Minnesota Duluth,3-4 Weeks,#21,79.50%,,50.00%,13182,20191.36,$50.00 ,55,6.5,80,105,Bachelors
Queens College of The City University of New York,3-4 Weeks,#45,69%,,77.00%,19127,17809.59,$0.00 ,44,6,61,95,Bachelors
The University of Tulsa (TU),4 Weeks,#195,75.20%,,50.00%,12816,46932,$0.00 ,48,6,70,105,Bachelors
Quinnipiac University,3-4 Weeks,#170,88.10%,,70.00%,15950,45251.47,$65.00 ,,6.5,85,105,Bachelors
University of the Pacific - Stockton,5 Weeks,#142,79.30%,,70.00%,16207,52615.65,$0.00 ,54,6.5,80,110,Bachelors
DePaul University,4 Weeks,#151,69.40%,,63.00%,18500,37081.47,$145.00 ,53,6.5,80,115,Bachelors
University of Northern Iowa (UNI),4-5 Weeks, #11.,86%,,75.00%,14160,21108.00  ,$75.00 ,52,6,79,105,Bachelors
Adelphi University,4-5 Weeks,#163,77.50%,,70.00%,21000,40210.3,$0.00 ,54,6.5,80,110,Bachelors
Duquesne University,3-4 Weeks,#151,84%,,63.00%,21360,39317.03,$0.00 ,48,6,70,95,Bachelors
University of West Florida - Pensacola,3-4 Weeks,#27,52.80%,,77.00%,13000,15577.55,$150.00 ,50,6,71,95,Bachelors
Seattle University,4 Weeks,#163,82.10%,,70.00%,16000,40457.42,$60.00 ,63,6.5,86,110,Bachelors
 University of St. Thomas (Minnesota),3-4 Weeks,#201,75.50%,,63.00%,12619,50788.01,$0.00 ,53,6.5,80,105,Bachelors
New York Institute of Technology - New York (NYIT),5 Weeks,#21,80.40%,,70.00%,20400,36146.22,$50.00 ,53,6,79,105,Bachelors
University of Central Arkansas,4 Weeks,#394,92.40%,,63.00%,14689,8878.6,$50.00 ,50,6,61,,Bachelors
Purdue University Northwest,4-5 Weeks,#122,76.40%,,60.00%,15000,16276.84,$75.00 ,,6.5,79,100,Bachelors
Hope College,3-4 Weeks,#100,80%,,70.00%,14015,39940.62,$0.00 ,58,6.5,79,105,Bachelors
Stetson University,4 Weeks,#4.,91.60%,,50.00%,14500,53164.52,$50.00 ,,6,79,95,Bachelors
Gonzaga University,3-4 Weeks,#93,76.20%,,70.00%,12790,45432.27,$0.00 ,56,6.5,80,120,Bachelors
University of New Haven,5 Weeks,#87,94.10%,,63.00%,17414,32086.52,$50.00 ,53,6,75,100,Bachelors
Eastern Washington University,4 Weeks,#49,97.10%,,60.00%,15000,25195.85,$75.00 ,,6,71,,Bachelors
 Troy University - Troy,5 Weeks,#55,95.30%,,50.00%,10000,18805.05,$50.00 ,51,5.5,63,100,Bachelors
Marist College,4 Weeks,#10,63%,,78.00%,16950,43175.84,$50.00 ,,6.5,80,105,Bachelors
 Rollins College,3-4 Weeks,#1,50%,,70.00%,15000,58300,$0.00 ,,6.5,80,105,Bachelors
Fairleigh Dickinson University - Florham,5 Weeks,#45,84.60%,,50.00%,50500,29986.91,$50.00 ,53,6,70,100,Bachelors
University of Tampa,4 Weeks,#16,26%,,70.00%,16636,28784.9,$40.00 ,,6.5,79,110,Bachelors
